Dia,ConsumoDia
2014-01-01,191055.652173913
2014-02-01,197864.09999999995
2014-03-01,190816.1904761905
2014-04-01,164932.09090909088
2014-05-01,191477.9999999999
2014-06-01,185563.8095238095
2014-07-01,209176.95652173908
2014-08-01,110519.00000000003
2014-09-01,209979.95454545444
2014-10-01,201401.39130434775
2014-11-01,192007.00000000006
2014-12-01,169943.30434782617
2015-01-01,550482.0000000002
2015-02-01,610796.9999999998
2015-03-01,180356.59090909088
2015-04-01,167855.86363636365
2015-05-01,196361.0000000001
2015-06-01,206710.6363636364
2015-07-01,255768.17391304343
2015-08-01,114258.09523809525
2015-09-01,196869.27272727262
2015-10-01,194128.0
2015-11-01,195010.47619047627
2015-12-01,522794.6086956524
2016-01-01,188235.0
2016-02-01,207766.66666666672
2016-03-01,187838.8695652173
2016-04-01,203094.0000000001
2016-05-01,182258.04545454553
2016-06-01,210136.5
2016-07-01,699224.9999999998
2016-08-01,113047.47826086954
2016-09-01,228470.45454545444
2016-10-01,201030.47619047627
2016-11-01,208489.90909090912
2016-12-01,0.0
2017-01-01,205939.3636363636
2017-02-01,209667.84999999992
2017-03-01,213778.7826086957
2017-04-01,167282.99999999994
2017-05-01,206468.0869565218
2017-06-01,241079.0454545456
2017-07-01,209470.47619047627
2017-08-01,130895.2173913043
2017-09-01,218285.99999999997
2017-10-01,206366.04545454556
2017-11-01,202140.27272727262
2017-12-01,193205.00000000003
2018-01-01,202069.04347826092
2018-02-01,210363.25
2018-03-01,209186.00000000012
2018-04-01,202852.380952381
2018-05-01,189945.1304347827
2018-06-01,214370.0
2018-07-01,210635.72727272738
2018-08-01,124594.60869565215
2018-09-01,223327.0000000001
2018-10-01,189997.73913043478
2018-11-01,186844.63636363638
2018-12-01,164864.76190476192
2019-01-01,190923.652173913
2019-02-01,178636.09999999995
2019-03-01,187625.0000000001
2019-04-01,170796.81818181823
2019-05-01,183965.91304347824
2019-06-01,215512.00000000006
2019-07-01,232738.888888889
2019-08-01,134089.0
2019-09-01,201459.04761904757
2019-10-01,214211.1304347827
2019-11-01,211055.00000000006
2019-12-01,169530.13636363635
2020-01-01,190266.52173913046
2020-02-01,182567.00000000006
2020-03-01,125215.36363636369
2020-04-01,87179.59090909088
2020-05-01,95388.99999999999
2020-06-01,26192.181818181816
